Id,SalePrice
2658,198025.24099494994
2718,229387.03331975528
2414,173219.68934629663
1989,137632.728725181
625,177366.64946225786
333,110359.26407141336
1327,116235.30256986068
858,138463.23340572757
95,183583.15765251877
1568,176486.74355403477
2482,154847.18870924518
1364,165186.58471084418
2584,176162.86052049356
818,274582.661772077
2673,188259.51625673263
2089,132197.35053276242
1297,172060.88398372376
790,120988.08380678754
2616,188545.9044084315
720,215204.2026279289
222,132897.00386791932
557,158946.0362216473
1148,217463.66470576092
2766,156974.8480873502
534,184026.8535132935
1452,115046.22615183983
630,126899.7374273749
2648,144556.18832426937
125,148581.46910026832
1904,33625.947576231265
1670,140085.176086221
756,132602.21434498605
717,282072.5616972958
1032,133749.14785855426
852,228741.7022545059
1731,176848.1702514074
2639,129888.2255909605
2071,99652.28288759927
1267,94643.57633847772
1851,196180.37044068504
567,151015.04107237814
2439,218238.16545598407
1898,176279.0661646183
647,130611.76241547038
2256,192446.62743166267
979,91910.20719386841
1444,191417.94980117213
2485,124555.71700120662
157,117811.80095650199
88,148689.29377694015
2003,136963.00729774038
186,227590.36435935705
1425,263402.7579109971
2695,130393.19182783844
738,118260.74878330826
395,147176.81613652976
1353,208817.76312849263
1878,140610.92545830677
390,178085.66846652774
1456,225856.3149164456
1103,298416.6684175263
1387,164482.05599876007
2070,146245.26218269535
1199,191370.8399609114
2479,168400.32602065874
501,280342.0030261045
2362,79819.23881872791
1718,192275.5157146757
2188,76118.93460234786
1483,156879.6056155634
2557,120368.84442027916
437,288611.3624609708
2224,192765.58599620103
1628,177710.52478280355
397,150745.08842256808
587,193469.58948494663
2182,450680.409543257
971,140818.2839419257
2611,140630.67740014027
1887,96438.74987319842
2399,260383.78573041293
2148,222033.83405535985
304,140682.17135403433
1997,120549.85801054316
2817,135076.96243012274
1431,193781.64687088665
427,325846.86319681536
263,122981.60929701451
598,177334.7835967852
2895,254213.2957173408
687,170079.29528616802
1822,143400.9384781939
2191,136417.0488018771
179,139463.3210520661
1009,194998.89496235122
2010,144139.70664988624
1991,160929.39427700668
1411,162545.5623160233
1721,250034.393917237
1144,201082.6225856703
593,226454.47662736106
575,237354.32442905378
1249,212068.3298686206
1604,121717.6811771589
1064,353523.0157981552
1923,165412.54920673044
1988,107232.92197224511
2325,158490.74524191086
114,213109.46002078007
2700,241745.321284714
217,140949.0995847364
343,180988.7587137669
386,213996.7672046061
2005,97411.40090882649
2908,135529.55059950586
1814,200085.45165839125
2446,374486.9552469017
208,183799.17842103826
1679,122120.6022504708
822,285770.51679385314
6,169235.92818567457
1781,312643.82577846036
2397,227858.14613849533
2340,239600.77198114624
1618,147027.80889200754
2843,182004.33316418357
1061,313420.7080824066
2786,114745.63897966719
1935,119286.75783106641
1341,124077.75972385595
521,259890.4221110859
2136,130397.94243794505
996,171228.19650603944
227,164412.41905511875
135,146609.36044393515
1167,151602.47151520243
294,214296.9316255018
1776,219813.70773254248
540,200079.41304604182
1717,192293.81579778995
2303,98583.78157172025
116,188348.5226846897
127,115966.87768669333
1371,144883.75228071565
1014,209201.68039103702
1507,79312.18915909261
702,188603.21849690835
750,205080.46731212697
261,167630.14184363926
1559,74068.24972298587
577,223019.99212027108
2812,216359.22545423516
2080,164607.10745057705
1368,151527.5760869999
2376,113333.87729020845
659,123074.77287316689
1235,135067.64767075784
332,79805.11453013033
1917,125731.17276954645
2094,233052.32047985698
1460,258221.99264022728
1471,207234.85475868467
1509,119749.83744754794
1922,147248.43740041312
433,336028.1250343888
460,230569.77136657212
1116,225946.41368323492
1137,152453.3645151709
53,182780.84421763642
2354,218965.54283367976
1475,194487.45816346034
1761,416130.0491200151
842,154375.03638951006
2739,182277.65513797067
2509,167855.00072320734
1007,181539.03566654248
2610,197220.70693847412
1952,87093.330995365
2719,228426.76088315272
2921,86875.93781170588
1966,148772.71083736786
292,121342.38035316853
1204,208531.95834347428
1829,236249.58304757788
2419,196631.00744427298
391,180823.0010424372
798,158227.48354066175
481,187572.3865315724
193,213026.20755694213
555,149360.2394452248
899,100037.38916702878
2357,211235.14202020582
328,126945.69935310204
1356,132683.87125024482
1154,102650.22898777446
1730,179303.45462959498
2249,163572.20764707986
1119,234837.68343116698
2856,160847.5829851565
1394,159152.6239026258
2587,141605.86461270612
61,307918.19166040054
2661,236025.26394183878
2711,126206.68803685645
1147,196070.8424721161
757,145486.73502963246
2623,91209.72806263686
2378,152197.22545831653
1413,159525.02490604282
1722,214055.81214726585
1112,192284.0788213072
1623,196237.75233555227
1201,207071.38477770926
1513,122746.85591331881
957,249555.3864246764
1171,258410.26520578098
1145,196602.45408124328
2726,236933.82086809506
703,155971.9103544418
760,92902.56663353642
1964,143782.04249357613
2512,165503.04245963303
159,180093.55544888854
1281,183061.3562672799
468,164566.48027582045
290,144287.27943569847
665,131171.86478058004
1463,275257.16678038146
1792,199254.7753888243
923,133468.22769875877
500,271619.98839426716
1408,167635.93416389372
331,66728.1919009881
170,143015.127430528
2192,115978.32069882944
2571,296751.9072270726
2314,165902.61546321504
2647,126048.09152251921
422,314002.77213511994
2457,287485.6919883687
1838,195952.93981171038
2805,229994.84601157228
1645,191181.49137077294
1711,273916.74309884274
2825,222623.76190531522
322,301260.70779675234
2103,269829.54999337404
342,151697.59812977674
600,95389.54820128634
488,178710.30025748303
1725,287799.8394999407
2246,231613.78632821672
2847,150477.56599537266
806,247393.30212218192
530,227540.44774192403
963,173228.17968388938
2678,94534.96545736062
171,96281.69114909225
2401,303394.0456562143
805,192806.62713851378
2259,209697.6212398368
1748,153449.30106728608
1361,156064.23120427446
1677,142977.1044351131
1406,170155.38090621293
2322,221295.32515386833
688,175250.9767849612
143,135691.36541352287
804,209354.543286238
1214,195666.34777990918
2828,166291.61307268264
1999,219696.11055494807
2467,198992.34598384215
2665,201525.90547849817
1538,308203.5752025551
398,111240.0115305636
2822,157454.673389226
2157,156879.6056155634
1856,174838.40466442297
1269,99155.25838517542
2570,117542.62187895697
2320,249211.56746593933
1517,156894.13082315982
2304,127422.29830388678
1312,125464.1302401337
2012,155357.02980626677
506,219878.70182254052
2865,195839.49980259608
2367,142972.58261550122
554,133917.2569813603
238,139815.10901994217
1954,103168.47566150066
2488,166972.74082099646
2291,118650.00437372163
1969,103393.51133654537
2725,173577.46340517566
1482,125105.53905354762
2763,187926.9195025349
503,220916.74238582476
1584,233119.16947627184
1531,195509.27675001384
2210,186437.70613653623
459,270265.8036375049
556,130394.07594085942
1347,180598.07235945665
1290,87890.16024200496
1388,101653.17555664902
1571,174070.2653177019
2754,193864.16914127875
765,153660.50832572457
2494,147548.9142932717
2870,183632.83407285303
7,204169.48055420502
1114,236699.6173801956
2418,244781.86712566472
291,124497.94607821226
18,298542.6182874271
39,292036.3638834548
1001,253415.3533817857
2442,236008.0450002544
616,117769.23522110285
2680,84190.39118752096
1414,161333.25536488355
289,151270.95706730598
40,238816.5856114158
860,122211.78257597229
409,134021.16294551632
673,169268.73389448132
2427,194761.5755385744
2036,191575.14240411544
2564,132989.99021109976
642,202443.16345238374
1008,191423.29226702574
1908,165673.1463671494
2519,196143.11995150504
1369,135916.08750950004
2855,179347.48854324175
712,102515.17211195712
1943,133804.24896922946
1958,163878.0210884814
107,162889.5099826987
2295,181279.16462056103
704,109589.69947515576
676,128558.26128895135
259,186680.3256907597
93,277016.7885964993
106,210614.253465583
2315,179856.14454858526
1050,135123.99688071225
1095,171800.2686453583
2709,130456.46079965634
758,184386.36229827837
1496,143529.44001977026
2370,126377.3237473823
2458,227294.86193984668
2733,148263.15586315864
161,263337.57690959214
726,165042.83163519012
845,207189.03326891756
947,256919.7356517748
2232,122003.68571734213
2563,176722.40057092952
2299,155383.9407722029
211,107037.71386645071
605,219566.01689074072
1478,187762.80584835322
2247,225635.40315066688
2274,200067.5235982564
2869,180276.65614689782
967,226837.7610554003
2656,97531.46756391575
667,232510.13059135023
1042,115930.78179717716
2023,186385.2808348416
2447,309672.814201244
2055,117758.17029291621
2275,245940.615606839
2204,163761.41198749063
1563,232411.44968839528
483,196698.9784110958
796,115298.10929681684
1526,169273.7471869208
2042,188223.48059794863
442,263417.7456129737
1693,256013.9616305777
1468,221948.94775675447
1430,172023.55802422063
2605,219318.66882517067
1529,177685.9539213153
335,127678.84042720715
1287,134942.90144283802
31,112204.32493305794
1785,254991.8351847152
82,152929.24679843584
2620,132187.2778807538
252,185107.22539203975
721,72364.11661387728
2165,168682.69908496804
2316,182058.51783544954
775,118355.31080762055
1558,133645.24305320927
17,192439.25176826114
1022,214571.79624999862
925,137340.84589789342
438,276577.09375282784
1270,161923.64716712188
1272,123813.72754607964
215,156987.33616017379
266,194078.28258386193
2402,242934.77278799663
1250,151285.06273811145
1984,130227.33548108068
1279,150321.4895898868
377,225929.10950264113
1252,158923.84575504568
2156,234327.4224393132
499,262519.92006460245
1374,148505.12491877508
2898,258723.85234417013
401,102930.97114514107
2721,185539.5925613365
2078,236433.73810875588
2589,149399.46728390935
1946,261115.33931497176
1334,143352.4332050609
2781,221388.0887290734
431,309566.52104227606
576,187192.616106519
1474,214915.93216239454
2254,172960.5190420227
2155,268759.73965268943
885,124201.73208299553
643,145193.79878270606
1944,136334.26510082086
480,203761.90375607298
2845,127072.033829656
2387,251723.4302250166
2407,208973.62629892194
2527,174514.75057304755
2514,144747.0849365832
629,204041.52460592595
80,192339.09465343598
1876,129854.61157069281
1546,121644.9016124942
2518,177298.96298136722
2347,157580.68429711033
783,162992.94007141932
1322,98249.59666871055
194,103705.07389965262
1770,274311.71552821016
2143,135382.73380172704
1229,216902.83220129577
511,257077.95538485228
46,189039.50518023683
1348,216670.49278990054
2465,177299.36703814982
387,207565.75972522204
873,214455.7411098906
1918,146408.53480960324
2764,226544.5991570578
2184,124039.53293734675
934,165849.1568803194
1920,118055.60669859283
2631,173234.64227985666
1768,400553.27300144295
2040,151054.41038938993
1749,218636.49451368419
834,206616.787240819
1457,226632.34828645832
79,141462.41108207483
2302,118342.92298398665
1817,147088.18426817036
2755,219483.39625692536
359,179139.2570034454
2059,115319.06338429896
2092,245574.53378296876
2516,247644.35389894032
150,114516.02676523762
1656,172601.09308005442
83,148645.91847495426
2411,188998.86332985517
795,98335.17121118426
2312,232866.56350663188
2917,102904.13940501516
1624,184582.8955873765
2215,269121.6589048436
1211,152005.4832498556
1485,133396.27935585592
1024,184956.77078187495
570,195264.34498936028
2874,164500.01656553405
700,195774.9076993791
2756,232772.31961573777
2022,189759.28672117405
583,222595.29283850867
2392,259740.7531011593
2424,179209.11102776884
212,119931.69817456763
736,151493.3874596403
1610,169878.72984455776
890,129836.17699443932
467,146113.24498907363
578,255592.74384308155
1747,166602.32282986224
1149,187812.0127181546
2758,220361.47955679125
857,137650.84037503458
2219,251615.16293837765
733,120257.135361464
2909,139775.20654461504
1798,253321.84617786948
235,147924.02909328774
2366,160588.49206068774
1027,127485.21963182508
1195,142569.4019601402
1303,47116.510944357695
148,202319.63632975638
608,178050.72902724825
2515,169676.79846612772
821,267795.04445018515
2500,248453.9083869435
745,110528.4597946999
741,165793.53950628504
1611,140796.11728123017
2532,125034.80131523307
1081,203627.66990474905
1692,344608.7041869769
2520,181941.3500402645
276,114468.7115052472
1992,153825.96097917866
663,25421.194733600714
418,167843.12194011177
1733,153270.7182678075
2359,145538.91845218456
253,178100.1621351969
1518,161069.94323183605
2035,182898.91522554093
2919,71496.0741447078
1540,229384.01671653648
2120,150689.95429401242
1674,196626.04657013426
256,171518.9782734109
2361,95322.39039269146
978,102432.02110315807
2280,133156.85392553522
2095,208317.3604953708
1709,264122.39170337043
2801,216765.97512837066
1246,98232.73202344343
2373,112489.13398358319
1055,235205.64914193985
2017,131234.5892498547
1099,258702.14138784638
1344,82169.04783647148
835,173706.2887106404
1117,209005.75483432933
2043,113967.69732547022
2085,114406.54690761995
410,176767.36592606496
2650,163448.16617137386
2867,159282.13898436585
1668,128754.01311310838
1161,181264.43491287655
2122,167640.16329983086
2539,169869.63351032275
1047,150241.5859988887
1445,117954.34839196055
541,137400.61878598572
569,203556.98386148625
1276,129772.940255319
918,166053.57492693065
326,182374.69598025756
1936,105707.30783916268
895,101469.76553036037
257,140588.9068863536
1241,205401.9342521321
1545,121209.67387184317
1189,168426.28431029973
270,156879.6056155634
2066,203917.20062077045
693,131760.2201910099
1259,206627.74390744424
2916,167053.76962179522
2321,249778.55569592002
1977,120414.2086838029
1895,173184.60752783128
1240,163531.409490184
85,146763.71411504404
1823,117597.20811861385
825,264737.22780234914
110,204631.36711286378
697,148041.6617447693
2297,99561.29067379035
1231,143736.60545454922
1355,159911.9483124319
968,289824.97997182806
584,242869.64489137204
1315,140436.02679490525
1606,160042.06052598404
206,123585.3708645904
1685,281185.77296675503
2016,158281.6651314889
869,195568.62623105096
2135,112910.53397007784
2346,177446.19647263846
2430,204651.6761580774
2198,112470.59435825126
2652,157399.29657802268
27,121230.47637507675
241,184974.26875251683
906,116702.74628129834
1506,86955.5917393158
2098,313716.69250623824
1435,220778.65978816902
2213,106630.1660392423
1274,182391.46008134427
743,42976.1275281132
1737,198198.59839170307
2797,263696.46971415915
2185,65713.2151675017
58,183997.6450303926
830,211501.15357499136
808,153785.13940981094
680,184781.30186560476
1153,114514.90985784098
1291,171910.50989402446
1818,176880.0783056725
2161,198279.01101612105
1883,135233.79984795194
350,276568.7964313361
2473,154464.2539562386
295,204664.74867415588
293,222638.69581709208
859,105984.32530719363
